,id,value
0,id_0,23.32305226854115
1,id_1,50.82614869629695
2,id_2,17.770002393112932
3,id_3,24.896308695046507
4,id_4,9.889757236417564
5,id_5,30.20534994748676
6,id_6,33.08040361933088
7,id_7,14.607728836398701
8,id_8,39.90359094134037
9,id_9,28.585580512805965
10,id_10,32.72537113995911
11,id_11,48.478543784626474
12,id_12,31.210717367031943
13,id_13,34.67217967243703
14,id_14,23.324758635236226
15,id_15,11.777461250006
16,id_16,43.56339966211644
17,id_17,20.068349150448523
18,id_18,17.067590917463164
19,id_19,17.75233375601834
20,id_20,13.840634760303042
21,id_21,24.13823831908951
22,id_22,31.791677173607866
23,id_23,9.714949375864329
24,id_24,48.007508756283
25,id_25,37.22058650278754
26,id_26,24.405890729202245
27,id_27,9.02276128299296
28,id_28,25.230757761316976
29,id_29,30.483623164294276
30,id_30,16.798854151920942
31,id_31,11.468307783338906
32,id_32,14.966465129055814
33,id_33,7.921528401350592
34,id_34,16.33772767976283
35,id_35,32.62595627196052
36,id_36,17.319025099604957
37,id_37,24.1365852840961
38,id_38,6.84903249542079
39,id_39,49.4454105526862
40,id_40,38.96424807747219
41,id_41,15.065209480790363
42,id_42,41.288609806079705
43,id_43,16.472765425877782
44,id_44,36.883771221032234
45,id_45,42.47151358805468
46,id_46,50.959021702849356
47,id_47,33.662738583042774
48,id_48,42.403968927951745
49,id_49,35.19131885160669
50,id_50,25.955979080367452
51,id_51,21.65552424973607
52,id_52,34.54402391811377
53,id_53,22.45863328562995
54,id_54,32.08608155878777
55,id_55,33.44894965618768
56,id_56,21.931559849113192
57,id_57,19.234250027427354
58,id_58,31.57392887776648
59,id_59,26.631071159142458
60,id_60,13.92782900406242
61,id_61,19.99120567955378
62,id_62,26.701798285037984
63,id_63,45.52485507580883
64,id_64,41.29162890045118
65,id_65,23.080044584557612
66,id_66,34.886362919978474
67,id_67,44.86021824517135
68,id_68,24.212273906497096
69,id_69,33.01824742892964
70,id_70,53.03422355621298
71,id_71,44.0741011710745
72,id_72,36.887871167221306
73,id_73,10.796595510467087
74,id_74,11.913789617871965
75,id_75,30.950232442082036
76,id_76,50.305341994526984
77,id_77,4.243048451125084
78,id_78,37.68615592040707
79,id_79,34.31486169405959
80,id_80,8.273480603528252
81,id_81,19.513565716901486
82,id_82,7.847746804930846
83,id_83,28.76942098435195
84,id_84,10.548561769536757
85,id_85,5.904219589576254
86,id_86,14.719969694285389
87,id_87,10.918218313202996
88,id_88,12.028055945487646
89,id_89,23.70611691723107
90,id_90,25.97030820053633
91,id_91,10.718444877204728
92,id_92,12.627489981820872
93,id_93,8.006901490017004
94,id_94,30.5694997647504
95,id_95,14.301545960101905
96,id_96,14.307372222689237
97,id_97,8.677173506976125
